angolo,distanza
4.62,16.76
9.23,16.75
13.85,16.75
18.46,16.76
23.08,16.75
27.69,16.76
32.31,16.76
36.92,16.76
41.54,16.76
46.15,16.76
50.77,16.76
55.38,16.76
60.00,16.75
64.62,16.75
69.23,15.79
73.85,17.07
78.46,16.12
83.08,16.12
87.69,16.12
92.31,17.65
96.92,15.81
101.54,16.13
106.15,16.13
110.77,16.12
115.38,16.44
120.00,41.55
124.62,19.92
129.23,18.95
133.85,17.07
138.46,16.42
143.08,16.44
147.69,16.44
152.31,16.44
156.92,17.27
161.54,17.07
166.15,18.95
170.77,18.65
175.38,42.81
180.00,16.75
184.62,17.39
189.23,16.12
193.85,44.00
198.46,42.62
203.08,43.42
207.69,43.42
212.31,42.62
216.92,43.23
221.54,56.49
226.15,56.63
230.77,58.29
235.38,57.32
240.00,58.43
244.62,58.45
249.23,84.98
253.85,60.25
258.46,57.32
263.08,57.03
267.69,55.64
272.31,43.60
276.92,43.03
281.54,43.81
286.15,42.01
290.77,42.43
295.38,42.42
300.00,42.82
304.62,18.02
309.23,16.75
313.85,40.87
318.46,41.77
323.08,41.55
327.69,41.33
332.31,57.87
336.92,58.16
341.54,59.40
346.15,81.36
350.77,81.46
355.38,82.25
360.00,195.81
