angolo,distanza,x,y
0.95,70.84,70.83,1.18
1.90,71.30,71.26,2.37
2.86,72.10,72.01,3.59
3.81,102.27,102.05,6.79
4.76,69.87,69.63,5.80
5.71,70.31,69.96,7.00
6.67,69.87,69.40,8.11
7.62,69.51,68.90,9.22
8.57,69.51,68.74,10.36
9.52,69.60,68.64,11.52
10.48,70.48,69.31,12.82
11.43,83.37,81.72,16.52
12.38,80.00,78.14,17.15
13.33,80.78,78.61,18.63
14.29,79.27,76.82,19.56
15.24,80.44,77.62,21.14
16.19,79.37,76.23,22.13
17.14,79.37,75.85,23.40
18.10,79.27,75.35,24.62
19.05,79.19,74.85,25.84
20.00,79.10,74.33,27.05
20.95,78.68,73.47,28.13
21.90,79.02,73.31,29.48
22.86,78.85,72.65,30.63
23.81,78.40,71.73,31.65
24.76,78.30,71.10,32.80
25.71,78.22,70.47,33.94
26.67,78.13,69.82,35.07
27.62,78.05,69.15,36.18
28.57,77.94,68.45,37.28
29.52,77.76,67.66,38.32
30.48,77.42,66.72,39.26
31.43,77.32,65.97,40.32
32.38,77.32,65.29,41.41
33.33,77.67,64.89,42.68
34.29,77.59,64.11,43.71
35.24,77.15,63.01,44.51
36.19,77.15,62.26,45.55
37.14,77.15,61.50,46.58
38.10,77.15,60.71,47.60
39.05,77.15,59.91,48.60
40.00,77.06,59.03,49.53
40.95,77.06,58.20,50.51
41.90,76.98,57.29,51.41
42.86,76.99,56.44,52.37
43.81,76.99,55.56,53.30
44.76,76.98,54.66,54.20
45.71,76.98,53.75,55.10
46.67,76.98,52.82,55.99
47.62,76.98,51.89,56.86
48.57,76.98,50.93,57.72
49.52,76.98,49.97,58.55
50.48,76.53,48.71,59.04
51.43,76.53,47.72,59.84
52.38,76.43,46.65,60.54
53.33,76.45,45.65,61.32
54.29,76.35,44.57,61.99
55.24,76.70,43.73,63.01
56.19,76.64,42.64,63.68
57.14,77.08,41.82,64.75
58.10,77.06,40.73,65.42
59.05,76.72,39.46,65.80
60.00,76.70,38.35,66.43
60.95,76.70,37.24,67.06
61.90,76.72,36.13,67.68
62.86,76.35,34.83,67.94
63.81,76.35,33.70,68.51
64.76,76.18,32.48,68.91
65.71,76.18,31.33,69.44
66.67,76.18,30.17,69.95
67.62,76.07,28.97,70.34
68.57,76.07,27.79,70.82
69.52,76.09,26.62,71.28
70.48,76.45,25.55,72.05
71.43,76.52,24.37,72.53
72.38,76.52,23.16,72.93
73.33,76.98,22.08,73.74
74.29,77.50,20.99,74.61
75.24,77.59,19.77,75.03
76.19,77.66,18.54,75.41
77.14,77.32,17.20,75.38
78.10,77.42,15.97,75.75
79.05,77.96,14.81,76.54
80.00,78.11,13.56,76.93
80.95,79.20,12.46,78.22
81.90,77.40,10.90,76.63
82.86,77.96,9.69,77.36
83.81,77.59,8.37,77.14
84.76,78.11,7.13,77.79
85.71,77.42,5.79,77.20
86.67,78.30,4.55,78.17
87.62,77.94,3.24,77.88
88.57,77.59,1.93,77.56
89.52,77.59,0.64,77.59
90.48,78.91,-0.66,78.91
91.43,78.57,-1.96,78.55
92.38,78.22,-3.25,78.15
93.33,80.09,-4.66,79.95
94.29,78.39,-5.86,78.17
95.24,82.04,-7.49,81.70
96.19,78.76,-8.49,78.30
97.14,100.59,-12.51,99.81
98.10,78.83,-11.10,78.04
99.05,78.32,-12.32,77.34
100.00,76.16,-13.23,75.00
100.95,75.74,-14.39,74.36
101.90,75.72,-15.62,74.09
102.86,31.89,-7.10,31.09
103.81,31.91,-7.62,30.99
104.76,31.38,-8.00,30.35
105.71,31.65,-8.57,30.47
106.67,29.83,-8.56,28.58
107.62,29.33,-8.88,27.95
108.57,29.31,-9.33,27.78
109.52,30.09,-10.06,28.36
110.48,29.58,-10.35,27.71
111.43,29.58,-10.81,27.54
112.38,29.07,-11.07,26.88
113.33,29.83,-11.82,27.39
114.29,29.33,-12.06,26.73
115.24,28.80,-12.28,26.05
116.19,29.58,-13.06,26.54
117.14,29.07,-13.26,25.87
118.10,28.51,-13.43,25.15
119.05,28.53,-13.85,24.94
120.00,27.95,-13.97,24.20
120.95,28.78,-14.80,24.68
121.90,28.24,-14.92,23.97
122.86,27.64,-15.00,23.22
123.81,27.64,-15.38,22.97
124.76,28.51,-16.25,23.42
125.71,27.06,-15.80,21.97
126.67,27.08,-16.17,21.72
127.62,27.95,-17.06,22.14
128.57,27.35,-17.05,21.39
129.52,27.35,-17.41,21.10
130.48,26.79,-17.39,20.38
131.43,26.79,-17.73,20.09
132.38,26.79,-18.06,19.79
133.33,26.77,-18.37,19.48
134.29,26.79,-18.71,19.18
135.24,27.64,-19.63,19.46
136.19,27.06,-19.53,18.74
137.14,27.08,-19.85,18.42
138.10,27.08,-20.16,18.09
139.05,27.08,-20.45,17.75
140.00,25.62,-19.63,16.47
140.95,27.06,-21.02,17.05
141.90,27.08,-21.31,16.71
142.86,27.08,-21.59,16.35
143.81,27.95,-22.56,16.50
144.76,28.80,-23.52,16.62
145.71,27.37,-22.61,15.42
146.67,27.37,-22.87,15.04
147.62,27.37,-23.11,14.66
148.57,27.35,-23.34,14.26
149.52,27.35,-23.57,13.87
150.48,28.80,-25.06,14.19
151.43,28.80,-25.29,13.77
152.38,29.31,-25.97,13.59
153.33,29.31,-26.19,13.15
154.29,28.53,-25.70,12.38
155.24,28.51,-25.89,11.94
156.19,29.83,-27.30,12.04
157.14,30.85,-28.43,11.99
158.10,59.70,-55.39,22.27
159.05,59.72,-55.77,21.36
160.00,59.43,-55.85,20.33
160.95,59.45,-56.19,19.40
161.90,59.99,-57.03,18.63
162.86,60.13,-57.46,17.72
163.81,60.15,-57.76,16.77
164.76,60.69,-58.56,15.95
165.71,60.30,-58.43,14.88
166.67,60.42,-58.79,13.93
167.62,61.39,-59.96,13.16
168.57,60.96,-59.75,12.08
169.52,60.98,-59.96,11.09
170.48,61.12,-60.27,10.11
171.43,61.25,-60.57,9.13
172.38,61.39,-60.85,8.14
173.33,61.93,-61.51,7.19
174.29,62.08,-61.78,6.18
175.24,62.65,-62.43,5.20
176.19,62.65,-62.51,4.16
177.14,63.63,-63.55,3.17
178.10,64.04,-64.00,2.13
179.05,62.92,-62.91,1.05
180.00,63.48,-63.48,-0.00
180.95,63.49,-63.49,-1.06
181.90,64.87,-64.84,-2.16
182.86,67.52,-67.44,-3.37
183.81,64.18,-64.03,-4.26
