s,distanza
0.07,143.24
0.14,145.10
0.22,290.94
0.29,142.44
0.36,141.18
0.43,288.92
0.50,287.39
0.58,286.08
0.65,284.65
0.72,283.29
0.79,281.71
0.86,280.65
0.94,132.12
1.01,129.83
1.08,127.69
1.15,126.62
1.22,124.47
1.30,122.62
1.37,121.46
1.44,267.39
1.51,266.82
1.59,265.62
1.66,264.66
1.73,263.06
1.80,261.68
1.87,260.46
1.95,258.43
2.02,255.95
2.09,254.86
2.16,252.65
2.23,250.89
2.31,249.37
2.38,247.33
2.45,245.21
2.52,242.96
2.59,240.69
2.67,238.43
2.74,236.03
2.81,233.80
2.88,231.93
2.95,228.75
3.03,226.87
3.10,223.87
3.17,221.46
3.24,-1.00
3.31,-1.00
3.39,303.14
3.46,608.62
3.53,604.16
3.60,602.46
3.67,598.48
3.75,596.46
3.82,593.37
3.89,590.89
3.96,-1.00
4.03,585.65
4.11,63.12
4.18,580.21
4.25,57.39
4.32,56.13
4.39,-1.00
4.47,519.88
4.54,516.87
4.61,512.99
4.68,511.61
4.76,509.61
4.83,-1.00
4.90,223.84
4.97,396.85
5.04,319.50
5.12,130.25
5.19,494.26
5.26,490.47
5.33,488.43
5.40,486.22
5.48,484.36
5.55,482.15
5.62,480.11
5.69,477.77
5.76,475.08
5.84,63.12
5.91,471.19
5.98,469.69
6.05,467.01
6.12,206.31
6.20,205.36
6.27,202.50
6.34,200.50
6.41,199.75
6.48,197.10
6.56,196.03
6.63,193.21
6.70,190.71
6.77,189.26
6.84,186.93
6.92,184.71
6.99,182.34
7.06,436.08
7.13,178.33
7.20,175.66
7.28,177.82
7.35,175.59
7.42,178.41
7.49,421.04
7.56,417.66
7.64,416.14
7.71,413.93
7.78,410.96
7.85,155.06
7.93,152.39
8.00,150.60
8.07,148.73
8.14,146.96
8.21,145.62
8.29,143.84
8.36,142.26
8.43,139.93
8.50,137.63
8.57,387.02
8.65,133.93
8.72,91.39
8.79,379.12
8.86,369.77
8.93,368.15
9.01,371.11
9.08,126.22
9.15,124.81
9.22,125.29
9.29,273.60
9.37,359.62
9.44,347.90
9.51,263.82
9.58,260.98
9.65,259.13
9.73,338.40
9.80,344.88
9.87,254.59
9.94,249.03
10.01,337.23
10.09,334.92
10.16,333.13
10.23,238.27
10.30,317.71
10.37,125.38
10.45,227.80
10.52,225.96
10.59,223.29
10.66,220.03
10.73,216.73
10.81,213.88
10.88,211.04
10.95,208.79
11.02,206.60
11.10,204.53
11.17,202.40
11.24,201.20
11.31,199.49
11.38,197.71
11.46,196.10
11.53,193.26
11.60,191.69
11.67,188.73
11.74,186.61
11.82,185.18
11.89,182.87
11.96,180.10
12.03,179.10
12.10,177.87
12.18,175.01
12.25,174.79
12.32,170.78
12.39,168.37
12.46,166.07
12.54,163.49
12.61,160.74
12.68,158.00
12.75,155.26
12.82,152.85
12.90,151.23
12.97,148.82
13.04,147.29
13.11,145.01
13.18,142.70
13.26,139.94
13.33,137.46
13.40,135.42
13.47,132.48
13.54,129.81
13.62,127.25
13.69,124.76
13.76,122.08
13.83,120.46
13.90,117.64
13.98,115.79
14.05,56.41
14.12,112.30
14.19,110.53
14.27,108.65
14.34,106.54
14.41,104.48
14.48,102.44
14.55,100.21
14.63,98.06
14.70,96.03
14.77,93.55
14.84,90.97
14.91,88.59
14.99,86.26
15.06,56.68
15.13,57.24
15.20,80.67
15.27,78.71
15.35,77.72
15.42,76.31
15.49,74.54
15.56,73.29
15.63,71.43
15.71,69.65
15.78,67.86
15.85,65.64
15.92,63.68
15.99,61.62
16.07,59.76
16.14,58.77
16.21,57.38
16.28,56.41
16.35,56.12
16.43,55.98
16.50,55.98
16.57,55.98
16.64,56.00
16.71,56.00
16.79,55.85
16.86,55.85
16.93,55.83
17.00,55.83
17.07,55.85
17.15,55.85
17.22,55.83
17.29,56.25
17.36,56.25
17.44,56.12
17.51,56.12
17.58,56.25
17.65,56.68
17.72,56.81
17.80,57.24
17.87,56.69
17.94,56.41
18.01,55.69
18.08,55.69
18.16,56.12
18.23,56.13
18.30,55.85
18.37,56.25
18.44,56.54
18.52,56.27
18.59,55.05
18.66,53.18
18.73,50.30
18.80,49.95
18.88,49.78
18.95,48.74
19.02,47.75
19.09,46.61
19.16,45.56
19.24,45.15
19.31,43.78
19.38,41.46
19.45,40.10
19.52,38.27
19.60,37.81
19.67,35.75
19.74,35.28
19.81,35.02
19.88,31.84
19.96,32.16
20.03,30.63
20.10,29.34
20.17,28.24
20.24,26.52
20.32,25.08
20.39,22.18
20.46,19.67
20.53,18.39
20.61,15.84
20.68,15.86
20.75,12.14
20.82,10.80
20.89,8.09
20.97,7.12
21.04,5.53
21.11,4.56
21.18,3.89
21.25,3.25
21.33,2.28
21.40,3.26
21.47,1.97
21.54,2.60
21.61,2.30
21.69,1.97
21.76,5.83
21.83,2.72
21.90,2.62
21.97,2.62
22.05,2.62
22.12,2.62
22.19,2.62
22.26,2.62
22.33,2.62
22.41,2.62
22.48,2.62
22.55,2.62
22.62,2.62
22.69,2.62
22.77,2.62
22.84,2.62
22.91,2.62
22.98,2.62
23.05,2.45
23.13,2.62
23.20,2.62
23.27,2.62
23.34,2.62
23.41,2.62
23.49,2.62
23.56,2.62
23.63,2.62
23.70,2.62
23.78,2.62
23.85,2.62
23.92,1.78
23.99,2.62
24.06,2.62
24.14,2.62
24.21,2.62
24.28,2.62
24.35,2.62
24.42,2.60
24.50,2.63
24.57,2.62
24.64,2.62
24.71,2.62
24.78,2.62
24.86,2.62
24.93,2.62
25.00,2.55
