angolo,distanza,x,y
0.94,115.86,115.84,1.89
1.87,115.41,115.35,3.77
2.81,115.41,115.27,5.65
3.74,114.97,114.73,7.50
4.68,114.97,114.59,9.37
5.61,114.92,114.37,11.23
6.55,114.94,114.19,13.10
7.48,115.31,114.33,15.01
8.42,114.89,113.65,16.81
9.35,115.23,113.69,18.72
10.29,114.80,112.96,20.50
11.22,114.68,112.49,22.32
12.16,114.60,112.03,24.13
13.09,114.15,111.19,25.86
14.03,114.07,110.67,27.65
14.96,114.05,110.19,29.44
15.90,113.99,109.63,31.22
16.83,113.99,109.10,33.00
17.77,113.97,108.53,34.78
18.70,114.05,108.03,36.57
19.64,113.99,107.36,38.30
20.57,36.12,33.82,12.69
21.51,36.12,33.61,13.24
22.44,113.08,104.52,43.17
23.38,35.97,33.02,14.27
24.31,36.82,33.56,15.16
25.25,35.89,32.46,15.31
26.18,37.42,33.58,16.51
27.12,35.67,31.75,16.26
28.05,37.26,32.89,17.52
28.99,35.89,31.39,17.39
29.92,35.44,30.72,17.68
30.86,35.43,30.41,18.17
31.79,35.90,30.52,18.92
32.73,36.35,30.58,19.65
33.66,34.66,28.85,19.21
34.60,35.17,28.95,19.97
35.53,35.19,28.64,20.45
36.47,35.19,28.30,20.92
37.40,35.19,27.95,21.37
38.34,34.66,27.19,21.50
39.27,34.15,26.44,21.62
40.21,34.92,26.67,22.54
41.14,34.41,25.91,22.64
42.08,33.90,25.16,22.72
43.01,33.90,24.79,23.12
43.95,34.66,24.96,24.06
44.88,34.17,24.21,24.11
45.82,34.15,23.80,24.49
46.75,34.68,23.76,25.26
47.69,34.68,23.35,25.65
48.62,34.66,22.91,26.01
49.56,34.66,22.48,26.38
50.49,34.15,21.73,26.35
51.43,33.64,20.98,26.30
52.36,33.64,20.54,26.64
53.30,33.12,19.79,26.55
54.23,33.13,19.37,26.88
55.17,33.90,19.36,27.82
56.10,33.39,18.62,27.71
57.04,32.88,17.89,27.59
57.97,33.64,17.84,28.52
58.91,33.13,17.11,28.37
59.84,33.63,16.89,29.08
60.78,33.39,16.30,29.14
61.71,33.64,15.94,29.63
62.65,33.37,15.33,29.64
63.58,33.39,14.85,29.90
64.52,31.93,13.73,28.82
65.45,34.15,14.19,31.07
66.39,33.13,13.27,30.36
67.32,33.90,13.07,31.28
68.26,33.39,12.37,31.01
69.19,33.37,11.85,31.19
70.13,33.39,11.35,31.40
71.06,33.64,10.92,31.82
72.00,33.64,10.40,32.00
72.94,33.64,9.87,32.16
73.87,34.42,9.56,33.07
74.81,33.13,8.68,31.97
75.74,34.41,8.48,33.35
76.68,33.13,7.64,32.24
77.61,33.64,7.22,32.86
78.55,33.92,6.74,33.24
79.48,34.66,6.33,34.08
80.42,34.68,5.77,34.20
81.35,34.66,5.21,34.27
82.29,34.68,4.66,34.37
83.22,34.15,4.03,33.91
84.16,34.17,3.48,33.99
85.09,34.17,2.92,34.04
86.03,34.17,2.37,34.09
86.96,34.15,1.81,34.10
87.90,34.17,1.25,34.15
88.83,33.64,0.69,33.64
89.77,33.64,0.14,33.64
90.70,33.64,-0.41,33.64
91.64,33.64,-0.96,33.63
92.57,33.64,-1.51,33.61
93.51,33.63,-2.06,33.56
94.44,33.64,-2.61,33.54
95.38,33.90,-3.18,33.75
96.31,33.92,-3.73,33.71
97.25,34.68,-4.37,34.40
98.18,34.68,-4.94,34.33
99.12,34.68,-5.50,34.24
100.05,35.19,-6.14,34.65
100.99,37.04,-7.06,36.36
101.92,37.94,-7.84,37.13
102.86,38.40,-8.55,37.44
103.79,36.81,-8.77,35.74
104.73,35.44,-9.01,34.28
105.66,35.43,-9.56,34.11
106.60,35.44,-10.12,33.97
107.53,35.46,-10.68,33.81
108.47,36.58,-11.59,34.70
109.40,36.12,-12.00,34.07
110.34,36.12,-12.56,33.87
111.27,36.81,-13.35,34.30
112.21,37.50,-14.17,34.72
113.14,38.86,-15.27,35.73
114.08,37.26,-15.20,34.02
115.01,17.41,-7.36,15.78
115.95,37.50,-16.41,33.72
116.88,38.79,-17.54,34.60
117.82,17.41,-8.12,15.40
118.75,17.41,-8.37,15.26
119.69,55.57,-27.52,48.28
120.62,18.36,-9.35,15.80
121.56,56.41,-29.52,48.06
122.49,17.41,-9.35,14.68
123.43,17.41,-9.59,14.53
124.36,17.41,-9.83,14.37
125.30,17.41,-10.06,14.21
126.23,12.44,-7.36,10.04
127.17,15.83,-9.56,12.61
128.10,15.83,-9.77,12.45
129.04,11.44,-7.21,8.89
129.97,11.80,-7.58,9.04
130.91,12.12,-7.94,9.16
131.84,10.78,-7.19,8.03
132.78,10.78,-7.32,7.91
133.71,10.76,-7.44,7.78
134.65,11.12,-7.81,7.91
135.58,11.10,-7.93,7.77
136.52,10.08,-7.31,6.94
137.45,10.08,-7.43,6.82
138.39,10.44,-7.80,6.93
139.32,10.44,-7.92,6.80
140.26,10.42,-8.01,6.66
141.19,10.44,-8.13,6.54
142.13,10.44,-8.24,6.41
143.06,9.42,-7.53,5.66
144.00,9.42,-7.62,5.54
144.94,9.42,-7.71,5.41
145.87,9.76,-8.08,5.47
146.81,9.74,-8.15,5.33
147.74,9.76,-8.25,5.21
148.68,9.76,-8.34,5.07
149.61,9.76,-8.42,4.94
150.55,9.76,-8.50,4.80
151.48,10.10,-8.87,4.82
152.42,10.10,-8.95,4.68
153.35,10.10,-9.03,4.53
154.29,8.74,-7.87,3.79
155.22,10.10,-9.17,4.23
156.16,10.10,-9.24,4.08
157.09,9.08,-8.36,3.53
158.03,9.08,-8.42,3.40
158.96,9.08,-8.47,3.26
159.90,9.08,-8.52,3.12
160.83,9.08,-8.57,2.98
161.77,9.08,-8.62,2.84
162.70,9.01,-8.60,2.68
163.64,9.08,-8.71,2.56
164.57,9.08,-8.75,2.42
165.51,9.08,-8.79,2.27
166.44,9.08,-8.83,2.13
167.38,9.08,-8.86,1.98
168.31,9.08,-8.89,1.84
169.25,9.08,-8.92,1.69
170.18,9.10,-8.96,1.55
171.12,9.42,-9.31,1.45
172.05,9.42,-9.33,1.30
172.99,9.08,-9.01,1.11
173.92,9.08,-9.03,0.96
174.86,9.10,-9.06,0.82
175.79,9.08,-9.05,0.67
176.73,9.08,-9.06,0.52
177.66,9.08,-9.07,0.37
178.60,9.08,-9.08,0.22
179.53,9.08,-9.08,0.07
180.47,9.08,-9.08,-0.07
181.40,9.08,-9.08,-0.22
182.34,10.10,-10.09,-0.41
183.27,8.59,-8.57,-0.49
184.21,8.74,-8.71,-0.64
185.14,9.08,-9.04,-0.81
186.08,10.08,-10.02,-1.07
187.01,10.10,-10.02,-1.23
187.95,9.76,-9.66,-1.35
188.88,9.42,-9.31,-1.45
189.82,10.44,-10.29,-1.78
190.75,10.44,-10.25,-1.95
191.69,10.08,-9.87,-2.04
192.62,10.10,-9.85,-2.21
193.56,11.10,-10.79,-2.60
194.49,10.76,-10.42,-2.69
195.43,12.12,-11.68,-3.22
196.36,11.46,-10.99,-3.23
197.30,12.46,-11.90,-3.71
198.23,12.46,-11.84,-3.90
199.17,12.44,-11.75,-4.09
200.10,12.44,-11.69,-4.28
201.04,13.46,-12.57,-4.83
201.97,13.12,-12.17,-4.91
202.91,13.14,-12.10,-5.12
203.84,12.80,-11.71,-5.17
204.78,16.78,-15.23,-7.03
205.71,33.90,-30.54,-14.71
206.65,33.90,-30.30,-15.20
207.58,15.81,-14.01,-7.32
208.52,15.83,-13.91,-7.56
209.45,31.59,-27.50,-15.53
210.39,22.17,-19.12,-11.21
211.32,15.83,-13.52,-8.23
212.26,16.78,-14.19,-8.96
213.19,30.04,-25.14,-16.45
214.13,30.82,-25.51,-17.29
215.06,30.29,-24.80,-17.40
216.00,29.77,-24.08,-17.50
216.94,29.78,-23.81,-17.90
217.87,29.27,-23.11,-17.97
218.81,30.04,-23.41,-18.82
219.74,29.26,-22.50,-18.70
220.68,28.75,-21.80,-18.74
221.61,29.51,-22.07,-19.60
222.55,29.53,-21.76,-19.97
223.48,29.51,-21.41,-20.31
224.42,28.75,-20.53,-20.12
225.35,29.51,-20.74,-21.00
