angolo,distanza,x,y
0.93,18.04,18.03,0.29
1.87,17.08,17.08,0.56
2.80,17.08,17.06,0.83
3.73,45.27,45.18,2.95
4.66,17.08,17.03,1.39
5.60,17.08,17.00,1.67
6.53,45.87,45.57,5.21
7.46,45.85,45.46,5.95
8.39,45.87,45.37,6.70
9.33,45.87,45.26,7.43
10.26,45.46,44.73,8.10
11.19,45.87,44.99,8.90
12.12,45.87,44.84,9.63
13.06,45.85,44.66,10.36
13.99,45.85,44.49,11.08
14.92,45.87,44.32,11.81
15.85,48.82,46.97,13.34
16.79,48.84,46.76,14.11
17.72,47.45,45.20,14.44
18.65,47.45,44.95,15.18
19.59,47.84,45.07,16.04
20.52,48.25,45.19,16.91
21.45,48.43,45.08,17.71
22.38,48.04,44.42,18.29
23.32,48.04,44.12,19.02
24.25,48.43,44.16,19.89
25.18,48.43,43.83,20.61
26.11,48.06,43.15,21.15
27.05,47.65,42.44,21.67
27.98,47.24,41.72,22.16
28.91,47.24,41.35,22.84
29.84,47.26,40.99,23.52
30.78,46.89,40.28,23.99
31.71,47.24,40.19,24.83
32.64,47.85,40.30,25.81
33.58,47.84,39.86,26.46
34.51,48.23,39.74,27.32
35.44,47.24,38.49,27.39
36.37,48.25,38.85,28.61
37.31,48.45,38.54,29.36
38.24,48.64,38.20,30.10
39.17,49.33,38.25,31.16
40.10,49.67,37.99,32.00
41.04,50.01,37.73,32.84
41.97,50.52,37.56,33.79
42.90,50.51,37.00,34.38
43.83,51.37,37.06,35.58
44.77,51.53,36.58,36.29
45.70,79.07,55.22,56.59
46.63,63.95,43.92,46.49
47.56,56.00,37.79,41.33
48.50,79.25,52.52,59.36
49.43,64.07,41.67,48.67
50.36,62.81,40.07,48.37
51.30,63.26,39.55,49.36
52.23,62.81,38.48,49.65
53.16,56.00,33.57,44.82
54.09,81.11,47.57,65.69
55.03,81.11,46.49,66.46
55.96,80.68,45.17,66.86
56.89,80.22,43.82,67.20
57.82,42.48,22.62,35.96
58.76,41.14,21.34,35.17
59.69,23.31,11.76,20.12
60.62,39.76,19.51,34.65
61.55,22.73,10.83,19.98
62.49,22.73,10.50,20.16
63.42,22.73,10.17,20.33
64.35,22.73,9.84,20.49
65.28,26.45,11.06,24.03
66.22,24.17,9.75,22.12
67.15,22.46,8.72,20.69
68.08,22.44,8.38,20.82
69.02,22.44,8.04,20.95
69.95,22.44,7.69,21.08
70.88,22.46,7.36,21.22
71.81,22.44,7.00,21.32
72.75,24.17,7.17,23.09
73.68,22.15,6.22,21.26
74.61,22.15,5.88,21.36
75.54,22.17,5.53,21.47
76.48,22.15,5.18,21.54
77.41,22.15,4.83,21.62
78.34,22.15,4.48,21.69
79.27,22.15,4.12,21.76
80.21,22.15,3.77,21.83
81.14,22.15,3.41,21.89
82.07,22.15,3.06,21.94
83.01,23.87,2.91,23.69
83.94,23.87,2.52,23.73
84.87,23.89,2.14,23.79
85.80,23.02,1.68,22.96
86.74,23.02,1.31,22.98
