angolo,distanza,x,y
0.94,78.79,78.78,1.29
1.88,63.55,63.51,2.08
2.82,63.95,63.88,3.15
3.76,63.10,62.97,4.14
4.70,63.95,63.74,5.24
5.64,61.42,61.12,6.04
6.58,78.56,78.04,9.00
7.52,78.56,77.88,10.28
8.46,78.54,77.69,11.55
9.40,78.11,77.07,12.76
10.34,78.56,77.28,14.10
11.28,79.51,77.97,15.55
12.22,51.37,50.21,10.87
13.16,-1.00,-0.97,-0.23
14.10,80.12,77.71,19.52
15.04,-1.00,-0.97,-0.26
15.98,42.28,40.65,11.64
16.92,42.28,40.45,12.30
17.86,41.84,39.82,12.83
18.80,41.38,39.17,13.33
19.74,40.00,37.65,13.51
20.68,40.70,38.08,14.37
21.62,40.24,37.41,14.83
22.56,40.22,37.14,15.43
23.50,40.24,36.90,16.04
24.44,39.32,35.80,16.27
25.38,25.89,23.39,11.10
26.32,25.02,22.43,11.09
27.26,25.02,22.25,11.46
28.20,23.31,20.54,11.01
29.14,23.31,20.36,11.35
30.08,23.31,20.17,11.68
31.02,23.31,19.97,12.01
31.96,23.31,19.77,12.34
32.90,23.31,19.57,12.66
33.84,23.31,19.36,12.98
34.78,24.17,19.86,13.79
35.72,25.02,20.32,14.61
36.66,25.02,20.07,14.94
37.60,25.04,19.84,15.28
38.54,25.02,19.57,15.59
39.48,25.89,19.98,16.46
40.42,39.78,30.29,25.79
41.36,39.78,29.86,26.28
42.30,39.78,29.42,26.77
43.24,38.18,27.82,26.16
44.18,38.18,27.38,26.61
45.12,38.18,26.94,27.05
46.06,38.18,26.50,27.49
47.00,38.64,26.35,28.26
47.94,38.64,25.89,28.69
48.88,38.64,25.41,29.11
49.82,38.64,24.93,29.52
50.76,38.64,24.44,29.93
51.70,38.66,23.96,30.34
52.64,38.20,23.18,30.36
53.58,38.18,22.67,30.72
54.52,38.64,22.43,31.46
55.46,38.64,21.91,31.83
56.40,23.89,13.22,19.89
57.34,23.89,12.89,20.11
58.28,24.74,13.01,21.04
59.22,23.60,12.08,20.27
60.16,27.88,13.87,24.18
61.10,27.05,13.07,23.68
62.04,28.75,13.48,25.39
62.98,24.17,10.98,21.53
63.92,26.76,11.76,24.03
64.86,23.89,10.15,21.62
65.80,43.08,17.66,39.29
66.74,43.49,17.18,39.95
67.68,43.47,16.51,40.21
68.62,43.49,15.86,40.49
69.56,40.92,14.29,38.34
70.50,40.48,13.51,38.15
71.44,42.69,13.59,40.47
72.38,41.62,12.60,39.66
73.32,42.69,12.26,40.89
74.26,42.67,11.58,41.07
75.20,42.69,10.91,41.27
76.14,46.26,11.08,44.91
77.08,45.07,10.08,43.93
78.02,42.28,8.78,41.36
78.96,40.70,7.80,39.94
79.90,40.00,7.02,39.38
80.84,39.78,6.34,39.27
81.78,41.16,5.89,40.73
82.72,40.46,5.13,40.13
83.66,39.80,4.40,39.55
84.60,40.24,3.79,40.06
85.54,40.24,3.13,40.12
86.48,40.24,2.47,40.16
87.42,41.38,1.87,41.34
88.36,40.46,1.16,40.44
89.30,42.06,0.52,42.05
90.23,40.22,-0.16,40.22
91.17,40.70,-0.83,40.69
92.11,41.14,-1.52,41.11
93.05,43.88,-2.34,43.81
93.99,43.49,-3.03,43.38
94.93,42.69,-3.67,42.53
95.87,49.01,-5.02,48.75
96.81,29.29,-3.48,29.08
97.75,28.76,-3.88,28.50
98.69,27.90,-4.22,27.58
99.63,28.75,-4.81,28.34
100.57,27.03,-4.96,26.57
101.51,28.36,-5.66,27.79
102.45,26.18,-5.65,25.56
103.39,25.60,-5.93,24.91
104.33,25.31,-6.27,24.52
105.27,25.33,-6.67,24.44
106.21,25.89,-7.23,24.86
107.15,25.89,-7.64,24.74
108.09,27.61,-8.57,26.24
109.03,26.45,-8.63,25.01
109.97,25.87,-8.84,24.32
110.91,25.31,-9.04,23.65
111.85,27.34,-10.18,25.37
112.79,24.74,-9.58,22.80
113.73,25.89,-10.42,23.70
114.67,25.04,-10.45,22.75
115.61,27.90,-12.06,25.16
116.55,25.02,-11.19,22.38
117.49,25.60,-11.82,22.71
118.43,28.76,-13.70,25.29
119.37,25.60,-12.56,22.31
120.31,24.94,-12.59,21.53
121.25,26.18,-13.58,22.38
122.19,29.53,-15.73,24.99
123.13,26.47,-14.47,22.17
124.07,26.74,-14.98,22.15
125.01,28.76,-16.50,23.56
125.95,26.16,-15.36,21.18
126.89,30.41,-18.26,24.32
127.83,29.51,-18.10,23.31
128.77,29.02,-18.17,22.62
129.71,28.75,-18.37,22.11
130.65,96.00,-62.54,72.83
131.59,87.06,-57.79,65.11
132.53,96.80,-65.44,71.33
