angolo,distanza,x,y
0.94,48.47,48.46,0.80
1.88,48.45,48.42,1.59
2.82,49.37,49.31,2.43
3.76,60.35,60.22,3.96
4.70,71.28,71.04,5.84
5.64,70.86,70.51,6.96
6.58,71.21,70.74,8.16
7.52,60.08,59.56,7.86
8.46,70.69,69.92,10.40
9.40,70.69,69.74,11.54
10.34,70.58,69.44,12.67
11.28,59.67,58.52,11.67
12.22,60.03,58.67,12.70
13.16,60.06,58.48,13.67
14.10,59.52,57.72,14.50
15.04,59.77,57.72,15.51
15.98,58.26,56.01,16.04
16.92,58.26,55.74,16.95
17.86,57.09,54.34,17.51
18.80,58.28,55.17,18.78
19.74,58.26,54.84,19.68
20.68,58.26,54.51,20.57
21.62,58.67,54.54,21.61
22.56,59.08,54.55,22.66
23.50,59.08,54.18,23.55
24.44,59.09,53.80,24.45
25.38,60.35,54.53,25.87
26.32,60.76,54.46,26.94
27.26,59.36,52.77,27.19
28.20,59.81,52.71,28.26
29.14,59.79,52.22,29.11
30.08,59.81,51.75,29.97
31.02,59.79,51.24,30.81
31.96,59.81,50.74,31.66
32.90,59.77,50.19,32.47
33.84,59.79,49.66,33.29
34.78,60.20,49.44,34.34
35.72,60.21,48.89,35.15
36.66,60.08,48.20,35.87
37.60,61.46,48.69,37.49
38.54,56.73,44.37,35.34
39.48,56.17,43.35,35.71
40.42,56.01,42.65,36.32
41.36,55.88,41.94,36.92
42.30,55.88,41.33,37.61
43.24,55.74,40.61,38.19
44.18,55.74,39.98,38.85
45.12,55.27,39.00,39.16
46.06,55.61,38.59,40.04
47.00,55.44,37.81,40.54
47.94,54.93,36.80,40.78
48.88,55.27,36.35,41.63
49.82,55.11,35.56,42.11
50.76,55.10,34.85,42.67
51.70,55.44,34.36,43.50
52.64,55.08,33.43,43.78
53.58,55.10,32.71,44.33
54.52,55.10,31.98,44.86
55.46,55.10,31.24,45.38
56.40,55.10,30.49,45.89
57.34,55.10,29.74,46.38
58.28,55.10,28.97,46.87
59.22,55.11,28.21,47.35
60.16,53.11,26.43,46.07
61.10,54.57,26.38,47.77
62.04,54.93,25.76,48.51
62.98,54.94,24.96,48.95
63.92,54.93,24.15,49.33
64.86,54.93,23.34,49.72
65.80,54.96,22.53,50.13
66.74,54.94,21.70,50.48
67.68,54.93,20.86,50.81
68.62,54.94,20.03,51.16
69.56,54.94,19.19,51.48
70.50,54.93,18.34,51.78
71.44,54.94,17.49,52.09
72.38,54.93,16.63,52.35
73.32,54.93,15.77,52.61
74.26,54.93,14.90,52.87
75.20,42.50,10.86,41.09
76.14,54.76,13.12,53.16
77.08,54.77,12.25,53.39
78.02,54.77,11.37,53.58
78.96,54.77,10.49,53.76
79.90,55.28,9.70,54.43
80.84,54.94,8.75,54.24
81.78,55.44,7.93,54.87
82.72,55.61,7.05,55.16
83.66,55.28,6.11,54.95
84.60,55.27,5.21,55.02
85.54,55.27,4.30,55.10
86.48,55.74,3.43,55.64
87.42,55.44,2.50,55.38
88.36,55.88,1.60,55.86
89.30,55.62,0.68,55.62
90.23,55.74,-0.23,55.74
91.17,55.74,-1.14,55.73
92.11,55.74,-2.06,55.71
93.05,55.90,-2.98,55.82
93.99,55.90,-3.89,55.76
94.93,55.90,-4.81,55.69
95.87,55.90,-5.72,55.60
96.81,55.90,-6.63,55.50
97.75,55.90,-7.54,55.38
98.69,56.03,-8.47,55.39
99.63,56.03,-9.38,55.24
100.57,56.15,-10.30,55.20
101.51,56.19,-11.22,55.05
102.45,56.59,-12.20,55.26
103.39,56.15,-13.01,54.62
104.33,56.17,-13.91,54.42
105.27,56.30,-14.83,54.32
106.21,56.87,-15.88,54.60
107.15,57.00,-16.81,54.47
108.09,58.41,-18.14,55.52
109.03,58.53,-19.09,55.33
109.97,59.23,-20.23,55.67
110.91,60.08,-21.45,56.12
111.85,66.33,-24.69,61.57
112.79,66.04,-25.59,60.89
113.73,66.06,-26.59,60.47
114.67,66.08,-27.58,60.05
115.61,66.62,-28.80,60.08
116.55,67.75,-30.28,60.60
117.49,68.02,-31.40,60.34
118.43,68.15,-32.45,59.93
119.37,69.44,-34.06,60.52
120.31,73.34,-37.02,63.31
121.25,76.26,-39.57,65.20
122.19,76.25,-40.62,64.52
123.13,73.34,-40.09,61.41
124.07,78.32,-43.88,64.87
125.01,80.09,-45.95,65.59
125.95,76.62,-44.98,62.02
126.89,78.47,-47.11,62.76
127.83,79.46,-48.74,62.76
128.77,79.88,-50.03,62.28
129.71,80.26,-51.28,61.74
130.65,80.60,-52.51,61.15
131.59,81.41,-54.04,60.89
132.53,81.41,-55.04,59.99
133.47,82.65,-56.87,59.98
134.41,83.45,-58.40,59.61
135.35,83.45,-59.37,58.65
136.29,82.57,-59.69,57.05
137.23,82.84,-60.81,56.25
138.17,24.17,-18.01,16.12
139.11,28.76,-21.75,18.83
140.05,27.05,-20.74,17.37
140.99,23.61,-18.35,14.86
141.93,24.46,-19.26,15.08
142.87,23.90,-19.06,14.43
143.81,23.02,-18.58,13.59
144.75,22.83,-18.65,13.18
145.69,23.89,-19.73,13.46
146.63,23.89,-19.95,13.14
147.57,24.75,-20.89,13.27
148.51,24.74,-21.09,12.92
149.45,24.17,-20.82,12.29
150.39,23.31,-20.26,11.52
151.33,23.32,-20.46,11.19
152.27,23.32,-20.65,10.85
153.21,24.46,-21.84,11.03
154.15,22.73,-20.45,9.91
155.09,22.73,-20.61,9.57
156.03,23.60,-21.56,9.59
156.97,24.75,-22.78,9.68
157.91,23.02,-21.33,8.66
158.85,23.02,-21.47,8.30
159.79,23.02,-21.60,7.95
160.73,23.03,-21.74,7.60
161.67,25.04,-23.77,7.87
162.61,22.46,-21.43,6.71
163.55,22.46,-21.54,6.36
164.49,22.46,-21.64,6.00
165.43,22.46,-21.73,5.65
166.37,22.46,-21.82,5.29
167.31,22.44,-21.89,4.93
168.25,22.46,-21.99,4.57
169.19,22.46,-22.06,4.21
170.13,22.52,-22.19,3.86
171.07,23.02,-22.74,3.57
172.01,23.02,-22.79,3.20
172.95,23.89,-23.70,2.93
173.89,24.75,-24.61,2.63
174.83,22.73,-22.64,2.05
175.77,26.18,-26.11,1.93
176.71,23.32,-23.29,1.34
177.65,26.76,-26.74,1.10
178.59,23.89,-23.88,0.59
179.53,23.89,-23.88,0.20
180.47,25.62,-25.62,-0.21
181.41,29.55,-29.54,-0.73
182.35,24.46,-24.44,-1.00
183.29,28.76,-28.72,-1.65
184.23,29.29,-29.21,-2.16
185.17,25.02,-24.92,-2.25
186.11,25.60,-25.46,-2.72
187.05,85.05,-84.41,-10.44
187.99,28.76,-28.48,-4.00
188.93,41.62,-41.11,-6.46
189.87,41.16,-40.55,-7.05
190.81,41.17,-40.44,-7.72
