angolo,distanza,x,y
0.94,23.02,23.01,0.38
1.88,23.02,23.01,0.75
2.81,23.89,23.86,1.17
3.75,24.74,24.68,1.62
4.69,23.60,23.52,1.93
5.62,23.31,23.19,2.28
6.56,23.31,23.15,2.66
7.50,23.31,23.11,3.04
8.44,25.02,24.75,3.67
9.38,23.87,23.55,3.89
10.31,24.46,24.07,4.38
11.25,26.49,25.98,5.17
12.19,27.95,27.32,5.90
13.12,29.53,28.76,6.71
14.06,29.53,28.64,7.17
15.00,29.53,28.52,7.64
15.94,27.05,26.01,7.43
16.88,100.37,96.05,29.14
17.81,81.11,77.22,24.81
18.75,81.91,77.56,26.33
19.69,100.18,94.32,33.75
20.62,100.06,93.65,35.25
21.56,77.55,72.13,28.50
22.50,62.54,57.78,23.93
23.44,74.00,67.90,29.43
24.38,60.74,55.33,25.07
25.31,60.60,54.79,25.91
26.25,73.30,65.74,32.42
27.19,58.94,52.43,26.93
28.12,58.65,51.72,27.65
29.06,58.65,51.27,28.49
30.00,58.09,50.31,29.04
30.94,58.38,50.07,30.01
31.88,58.22,49.44,30.75
32.81,57.54,48.36,31.18
33.75,56.98,47.38,31.66
34.69,57.24,47.07,32.57
35.62,56.98,46.32,33.19
36.56,56.83,45.65,33.85
37.50,56.71,44.99,34.52
38.44,56.13,43.97,34.90
39.38,56.01,43.30,35.54
40.31,56.41,43.01,36.49
41.25,56.29,42.32,37.11
42.19,55.73,41.29,37.42
43.12,55.59,40.57,38.00
44.06,55.86,40.14,38.85
45.00,55.73,39.40,39.40
45.94,55.73,38.75,40.04
46.88,55.25,37.77,40.32
47.81,55.08,36.99,40.81
48.75,54.91,36.20,41.28
49.69,54.74,35.41,41.74
50.62,54.74,34.73,42.31
51.56,55.08,34.24,43.14
52.50,54.55,33.21,43.28
53.44,54.93,32.72,44.12
54.38,54.42,31.70,44.23
55.31,54.40,30.96,44.73
56.25,54.38,30.21,45.22
57.19,54.76,29.67,46.02
58.12,54.76,28.92,46.50
59.06,54.76,28.15,46.97
60.00,54.74,27.37,47.41
60.94,54.74,26.59,47.85
61.88,54.76,25.81,48.29
62.81,54.74,25.01,48.69
63.75,54.74,24.21,49.09
64.69,54.74,23.40,49.48
65.62,54.74,22.59,49.86
66.56,54.74,21.77,50.22
67.50,54.74,20.95,50.57
68.44,53.91,19.81,50.13
69.38,53.89,18.98,50.44
70.31,53.91,18.16,50.76
71.25,54.23,17.43,51.35
72.19,54.25,16.59,51.65
73.12,54.06,15.69,51.73
74.06,54.08,14.85,52.00
75.00,54.06,13.99,52.22
75.94,54.08,13.14,52.46
76.88,54.08,12.28,52.66
77.81,54.23,11.45,53.01
78.75,54.08,10.55,53.04
79.69,54.06,9.68,53.19
80.62,53.57,8.73,52.85
81.56,53.55,7.86,52.97
82.50,55.28,7.22,54.81
83.44,53.91,6.16,53.55
84.38,53.89,5.28,53.63
85.31,53.91,4.41,53.73
86.25,53.91,3.53,53.79
87.19,53.89,2.64,53.83
88.12,53.89,1.76,53.86
89.06,53.91,0.88,53.90
90.00,54.23,-0.00,54.23
90.94,54.23,-0.89,54.22
91.88,54.25,-1.77,54.22
92.81,53.89,-2.64,53.83
93.75,53.91,-3.53,53.79
94.69,54.40,-4.45,54.22
95.62,54.40,-5.33,54.14
96.56,54.40,-6.22,54.04
97.50,54.06,-7.06,53.60
98.44,54.42,-7.98,53.83
99.38,54.40,-8.86,53.67
100.31,54.42,-9.74,53.54
101.25,54.91,-10.71,53.85
102.19,54.89,-11.59,53.66
103.12,56.12,-12.74,54.65
104.06,55.08,-13.38,53.43
105.00,55.08,-14.26,53.20
105.94,55.59,-15.26,53.45
106.88,55.57,-16.13,53.18
107.81,55.57,-17.00,52.91
108.75,55.69,-17.90,52.74
109.69,55.90,-18.83,52.63
110.62,55.86,-19.68,52.28
111.56,55.86,-20.53,51.95
112.50,55.88,-21.38,51.63
113.44,56.01,-22.28,51.39
114.38,55.73,-23.00,50.76
115.31,56.69,-24.24,51.25
116.25,56.69,-25.08,50.85
117.19,57.26,-26.16,50.93
118.12,56.42,-26.60,49.76
119.06,70.04,-34.02,61.22
120.00,56.98,-28.49,49.35
120.94,57.95,-29.79,49.71
121.88,70.12,-37.03,59.55
122.81,69.77,-37.81,58.64
123.75,43.67,-24.26,36.31
124.69,42.69,-24.29,35.10
125.62,43.88,-25.56,35.67
126.56,42.89,-25.55,34.45
127.50,42.28,-25.74,33.54
128.44,41.84,-26.01,32.77
129.38,42.06,-26.68,32.51
130.31,41.16,-26.63,31.38
131.25,42.28,-27.88,31.79
132.19,42.28,-28.39,31.33
133.12,42.26,-28.89,30.85
134.06,41.82,-29.08,30.05
135.00,40.92,-28.93,28.93
135.94,40.90,-29.39,28.44
136.88,40.92,-29.87,27.97
137.81,40.92,-30.32,27.48
138.75,43.08,-32.39,28.40
139.69,40.24,-30.68,26.03
140.62,39.78,-30.75,25.24
141.56,40.70,-31.88,25.30
142.50,40.46,-32.10,24.63
143.44,39.56,-31.77,23.57
144.38,39.54,-32.14,23.03
145.31,39.54,-32.51,22.50
146.25,39.56,-32.89,21.98
147.19,39.56,-33.25,21.44
148.12,39.10,-33.20,20.65
149.06,38.86,-33.33,19.98
150.00,38.86,-33.66,19.43
150.94,40.48,-35.38,19.66
151.88,38.88,-34.29,18.33
152.81,39.10,-34.78,17.86
153.75,38.20,-34.26,16.89
154.69,38.18,-34.52,16.32
155.62,38.18,-34.78,15.76
156.56,38.18,-35.03,15.19
157.50,39.78,-36.75,15.22
158.44,38.40,-35.72,14.11
159.38,37.08,-34.70,13.06
160.31,38.42,-36.17,12.94
161.25,38.42,-36.38,12.35
162.19,38.42,-36.58,11.75
163.12,37.96,-36.33,11.02
164.06,37.96,-36.50,10.42
165.00,37.96,-36.67,9.83
165.94,39.08,-37.91,9.50
166.88,38.18,-37.18,8.67
167.81,38.18,-37.32,8.06
168.75,38.18,-37.45,7.45
169.69,38.18,-37.57,6.84
170.62,37.96,-37.45,6.18
171.56,38.42,-38.00,5.64
172.50,38.40,-38.07,5.01
173.44,38.42,-38.17,4.39
174.38,38.40,-38.22,3.76
175.31,38.40,-38.27,3.14
176.25,39.56,-39.47,2.59
177.19,40.02,-39.97,1.96
178.12,38.42,-38.40,1.26
179.06,38.86,-38.86,0.64
180.00,38.86,-38.86,-0.00
180.94,38.88,-38.87,-0.64
181.88,39.78,-39.76,-1.30
182.81,40.68,-40.63,-2.00
183.75,39.56,-39.47,-2.59
184.69,40.92,-40.78,-3.34
185.62,41.14,-40.94,-4.03
186.56,40.94,-40.67,-4.68
187.50,42.28,-41.92,-5.52
188.44,41.60,-41.15,-6.10
189.38,42.28,-41.71,-6.89
190.31,43.47,-42.77,-7.78
191.25,42.28,-41.47,-8.25
192.19,43.67,-42.69,-9.22
193.12,42.89,-41.77,-9.74
194.06,43.88,-42.56,-10.66
195.00,65.76,-63.52,-17.02
195.94,65.76,-63.23,-18.06
196.88,64.50,-61.72,-18.72
197.81,64.09,-61.02,-19.61
198.75,62.83,-59.50,-20.20
199.69,61.57,-57.97,-20.74
200.62,61.15,-57.23,-21.54
201.56,61.17,-56.89,-22.48
202.50,59.76,-55.21,-22.87
203.44,60.20,-55.23,-23.94
