angolo,distanza,x,y
0.94,23.02,23.01,0.38
1.88,23.87,23.86,0.78
2.81,25.58,25.55,1.26
3.75,24.46,24.41,1.60
4.69,23.60,23.52,1.93
5.62,23.60,23.48,2.31
6.56,25.31,25.15,2.89
7.50,24.16,23.95,3.15
8.44,24.16,23.90,3.54
9.38,27.05,26.69,4.41
10.31,23.60,23.21,4.22
11.25,23.60,23.14,4.60
12.19,23.60,23.06,4.98
13.12,26.18,25.50,5.94
14.06,27.61,26.78,6.71
15.00,24.74,23.89,6.40
15.94,44.47,42.76,12.21
16.88,41.38,39.60,12.01
17.81,40.00,38.08,12.24
18.75,39.10,37.02,12.57
19.69,38.88,36.61,13.10
20.62,38.40,35.94,13.53
21.56,38.42,35.73,14.12
22.50,38.40,35.48,14.70
23.44,39.56,36.30,15.73
24.38,38.18,34.78,15.76
25.31,37.72,34.10,16.13
26.25,37.74,33.85,16.69
27.19,37.28,33.16,17.03
28.12,37.26,32.86,17.57
29.06,38.88,33.98,18.89
30.00,38.86,33.66,19.43
30.94,38.86,33.33,19.98
31.88,37.26,31.64,19.68
32.81,37.26,31.32,20.19
33.75,37.28,31.00,20.71
34.69,37.74,31.03,21.48
35.62,39.08,31.77,22.76
36.56,37.94,30.48,22.60
37.50,38.86,30.83,23.66
38.44,38.18,29.91,23.74
39.38,40.02,30.93,25.39
40.31,39.34,30.00,25.45
41.25,41.60,31.28,27.43
42.19,40.46,29.98,27.17
43.12,40.92,29.87,27.97
44.06,41.84,30.06,29.10
45.00,64.77,45.80,45.80
45.94,64.79,45.06,46.55
46.88,63.51,43.42,46.36
47.81,63.94,42.94,47.37
48.75,63.51,41.88,47.75
49.69,108.95,70.49,83.08
50.62,111.88,70.97,86.48
51.56,48.99,30.46,38.38
52.50,48.99,29.83,38.87
53.44,67.00,39.91,53.81
54.38,25.02,14.58,20.34
55.31,27.05,15.39,22.24
56.25,24.45,13.58,20.33
57.19,24.46,13.26,20.56
58.12,26.47,13.98,22.48
59.06,23.87,12.27,20.47
60.00,23.87,11.93,20.67
60.94,23.87,11.59,20.86
61.88,23.87,11.25,21.05
62.81,23.89,10.91,21.25
63.75,108.07,47.80,96.92
64.69,24.17,10.34,21.85
65.62,24.17,9.98,22.02
66.56,27.90,11.10,25.60
67.50,27.05,10.35,24.99
68.44,26.18,9.62,24.35
69.38,25.31,8.92,23.69
70.31,25.31,8.53,23.83
71.25,25.31,8.14,23.97
72.19,24.45,7.48,23.27
73.12,24.46,7.10,23.41
74.06,24.45,6.71,23.51
75.00,25.33,6.56,24.47
75.94,26.18,6.36,25.40
76.88,23.31,5.29,22.70
77.81,23.31,4.92,22.78
78.75,24.17,4.72,23.71
79.69,23.02,4.12,22.65
80.62,24.74,4.03,24.40
81.56,23.58,3.46,23.32
82.50,29.53,3.85,29.28
83.44,29.53,3.37,29.34
84.38,23.60,2.31,23.48
85.31,24.46,2.00,24.38
86.25,24.17,1.58,24.12
87.19,102.14,5.01,102.01
88.12,102.12,3.34,102.06
89.06,103.00,1.69,102.99
90.00,102.58,-0.00,102.58
90.94,75.70,-1.24,75.69
91.88,74.80,-2.45,74.76
92.81,74.73,-3.67,74.64
93.75,74.29,-4.86,74.13
94.69,74.19,-6.06,73.94
95.62,59.35,-5.82,59.06
96.56,58.51,-6.69,58.13
97.50,58.45,-7.63,57.95
98.44,58.51,-8.59,57.88
99.38,58.51,-9.53,57.73
100.31,58.51,-10.47,57.57
101.25,58.51,-11.42,57.39
102.19,58.92,-12.44,57.59
103.12,60.20,-13.67,58.62
104.06,59.35,-14.42,57.57
105.00,74.46,-19.27,71.92
105.94,60.18,-16.52,57.87
106.88,60.59,-17.59,57.98
107.81,74.92,-22.92,71.33
108.75,59.76,-19.21,56.58
109.69,58.51,-19.71,55.09
110.62,58.51,-20.61,54.76
111.56,58.51,-21.50,54.42
112.50,58.51,-22.39,54.06
113.44,59.89,-23.82,54.95
114.38,74.71,-30.84,68.06
115.31,42.30,-18.08,38.24
116.25,42.30,-18.71,37.93
117.19,42.28,-19.32,37.61
118.12,42.69,-20.12,37.65
119.06,43.47,-21.12,38.00
120.00,41.60,-20.80,36.03
120.94,42.87,-22.04,36.77
121.88,43.28,-22.86,36.76
122.81,42.89,-23.24,36.05
123.75,41.60,-23.11,34.59
124.69,41.14,-23.41,33.83
125.62,41.16,-23.97,33.45
126.56,41.62,-24.79,33.43
127.50,41.38,-25.19,32.83
128.44,41.36,-25.71,32.40
129.38,41.38,-26.25,31.99
130.31,41.38,-26.77,31.55
131.25,41.38,-27.28,31.11
132.19,42.28,-28.39,31.33
133.12,42.87,-29.31,31.29
134.06,42.87,-29.82,30.81
135.00,42.86,-30.30,30.30
135.94,42.87,-30.81,29.82
136.88,42.86,-31.28,29.30
137.81,42.89,-31.78,28.80
138.75,42.89,-32.25,28.28
139.69,42.28,-32.24,27.35
140.62,42.89,-33.16,27.21
141.56,41.16,-32.24,25.59
142.50,40.70,-32.29,24.78
143.44,41.60,-33.41,24.78
144.38,41.62,-33.83,24.24
145.31,41.62,-34.22,23.68
146.25,41.60,-34.59,23.11
147.19,42.06,-35.35,22.79
148.12,41.60,-35.33,21.97
149.06,42.06,-36.07,21.62
150.00,41.60,-36.03,20.80
150.94,39.80,-34.79,19.33
151.88,40.68,-35.88,19.18
152.81,40.70,-36.20,18.60
153.75,40.70,-36.50,18.00
154.69,40.68,-36.78,17.39
155.62,40.92,-37.27,16.89
156.56,40.92,-37.54,16.28
157.50,40.92,-37.80,15.66
158.44,40.92,-38.06,15.04
159.38,40.92,-38.30,14.41
160.31,40.92,-38.53,13.79
161.25,40.92,-38.75,13.15
162.19,40.92,-38.96,12.52
163.12,40.92,-39.16,11.88
164.06,29.51,-28.38,8.10
