angolo,distanza,x,y
0.94,26.18,26.18,0.43
1.87,23.31,23.29,0.76
2.81,23.31,23.28,1.14
3.74,23.31,23.26,1.52
4.68,23.31,23.23,1.90
5.61,23.29,23.18,2.28
6.55,23.31,23.16,2.66
7.48,23.29,23.09,3.03
8.42,23.31,23.06,3.41
9.35,22.44,22.14,3.65
10.29,22.44,22.08,4.01
11.22,22.46,22.03,4.37
12.16,22.44,21.94,4.73
13.09,22.44,21.86,5.08
14.03,22.44,21.77,5.44
14.96,22.44,21.68,5.79
15.90,23.29,22.40,6.38
16.83,24.16,23.12,6.99
17.77,25.02,23.83,7.64
18.70,23.02,21.80,7.38
19.64,23.02,21.68,7.74
20.57,23.02,21.55,8.09
21.51,23.02,21.42,8.44
22.44,23.02,21.27,8.79
23.38,25.60,23.50,10.16
24.31,23.58,21.49,9.71
25.25,23.58,21.33,10.06
26.18,23.60,21.18,10.41
27.12,23.60,21.00,10.76
28.05,25.31,22.34,11.90
28.99,24.74,21.64,11.99
29.92,39.34,34.09,19.62
30.86,39.32,33.76,20.17
31.79,39.78,33.81,20.96
32.73,39.78,33.47,21.51
33.66,39.76,33.10,22.04
34.60,39.76,32.73,22.58
35.53,40.46,32.93,23.51
36.47,38.64,31.07,22.97
37.40,38.64,30.70,23.47
38.34,40.24,31.56,24.96
39.27,39.27,30.40,24.86
40.21,37.72,28.81,24.35
41.14,37.72,28.41,24.82
42.08,37.72,28.00,25.28
43.01,37.72,27.58,25.73
43.95,37.74,27.17,26.19
44.88,37.74,26.74,26.63
45.82,37.74,26.30,27.06
46.75,38.42,26.32,27.99
47.69,37.50,25.24,27.73
48.62,37.50,24.79,28.14
49.56,37.04,24.03,28.19
50.49,37.04,23.57,28.58
51.43,38.64,24.09,30.21
52.36,37.79,23.08,29.93
53.30,37.04,22.14,29.70
54.23,37.04,21.65,30.06
55.17,37.50,21.42,30.78
56.10,37.50,20.91,31.13
57.04,38.40,20.89,32.22
57.97,37.28,19.77,31.61
58.91,37.28,19.25,31.93
59.84,37.74,18.96,32.63
60.78,38.18,18.64,33.32
61.71,38.18,18.09,33.62
62.65,39.08,17.96,34.71
63.58,37.96,16.89,34.00
64.52,38.42,16.53,34.68
65.45,38.42,15.96,34.95
66.39,38.86,15.56,35.61
